disease_name,associated_disease
先天性主动脉瓣窦动脉瘤破裂,主动脉瓣关闭不全
先天性主动脉瓣窦动脉瘤破裂, 肺动脉口狭窄
先天性主动脉瓣窦动脉瘤破裂, 动脉导管未闭
心包肿瘤,低血压
血管运动性鼻炎,鼻息肉
胸腔积液,心力衰竭
心肌炎,心源性休克
心脏内粘液瘤,水肿
心室间隔缺损,感染性心内膜炎
心室间隔缺损, 主动脉瓣关闭不全
羊水过多,胎盘早剥
原发性下肢静脉瓣膜关闭不全,静脉曲张
亚急性感染性心内膜炎,心律失常
乙状窦血栓性静脉炎,脑膜炎
左心室双出口,心室间隔缺损
左心室双出口, 肺动脉口狭窄
左心室双出口, 三尖瓣下移畸形
左心发育不良,休克
自发性血胸,休克
主-肺动脉隔缺损,充血性心力衰竭
主-肺动脉隔缺损, 肺动脉高压
主-肺动脉隔缺损, 房间隔缺损
主动脉夹层,主动脉夹层
主动脉夹层, 急性肾功能衰竭
主动脉夹层, 血管损伤
主动脉夹层, 脑血管病
主动脉瓣狭窄合并关闭不全,心内膜炎
主动脉瓣膜部狭窄,主动脉瓣关闭不全
阵发性室上性心动过速,晕厥
阵发性室上性心动过速, 老年人急性左心衰竭
早搏,阵发性室性心动过速
早搏, 昏厥
早搏, 休克
早搏, 心性猝死综合征
早搏, 心室扑动和心室颤动
主动脉瘤,动脉瘤
主动脉瓣狭窄,心内膜炎
主动脉瓣关闭不全,充血性心力衰竭
阵发性室性心动过速,冠心病
阵发性室性心动过速, 心肌病
阵发性室性心动过速, 心力衰竭
阵发性室性心动过速, 二尖瓣脱垂综合征
阵发性室性心动过速, 猝死
阵发性室性心动过速, 心动过速性心肌病
阵发性室性心动过速, 心力衰竭
阵发性室性心动过速, 心肌梗死
中暑衰竭,休克
阿米巴肝脓肿,心包炎
氨基甲酸酯类农药中毒,昏迷
阿米巴肠病,肝脓肿
阿片类药物中毒,休克
柏-查综合征,静脉炎
Brenneman综合征,腹膜后淋巴结炎
巴瑞特综合征,溃疡病出血
半乳糖血症,腹水
暴发性肝功能衰竭,低血糖症
鞭虫病,荨麻疹
布卡综合症,腹水
暴发性肝炎样综合征,胰腺炎
便秘,肠梗阻
吡唑酮类中毒,恶心和呕吐
吡唑酮类中毒, 腹泻
吡唑酮类中毒, 十二指肠溃疡
吡唑酮类中毒, 再生障碍性贫血
吡唑酮类中毒, 肝炎
吡唑酮类中毒, 肺水肿
吡唑酮类中毒, 高血压
Barrett食管,食管狭窄
贲门失弛缓症,贲门癌
钡中毒,心脏损伤
变形杆菌食物中毒,休克
蓖麻子中毒,心力衰竭
铋中毒,腹泻
丙型病毒性肝炎,肝硬化
肠病性肢皮炎综合征,甲沟炎
肠道菌群失调症,糖尿病
肠扭转综合征,肠梗阻
肠气肿综合征,肠扭转
肠系膜淋巴结结核,幽门梗阻
肠系膜上动脉压迫综合征,营养不良
粗制棉子油中毒,呼吸衰竭
肠扭转,肠梗阻
肠套叠,休克
肠间脓肿,肠梗阻
残胃癌,贫血
残窦综合征,复发性溃疡
肠易激综合征,胃肠道功能紊乱
肠梗阻,腹痛
苍耳中毒,呼吸衰竭
肠道病毒所致各系统感染,脑膜炎
肠系膜上动脉栓塞,休克
肠道气囊肿症,肠扭转
餐后血糖过低症,意识障碍
肠结核,肠套叠
肠系膜上静脉血栓形成,水肿
大网膜扭转,结节性多动脉炎
胆道运动功能障碍综合征,小儿胆道蛔虫症
胆道张力低下综合征,消化不良
胆囊管综合征,慢性胆囊炎
胆石性肠绞塞综合征,肠梗阻
胆汁淤积性黄疸,水肿
第五日综合征,慢性阑尾炎
蛋白丧失胃肠综合征,功能性消化不良
胆囊-结肠肝曲粘连综合征,消化不良
胆石症,胆道出血
胆囊切除术后综合征,黄疸
大肠息肉,贫血
多发性消化道息肉综合征,脑血栓形成
大肠梗阻,缺血性坏死
胆汁性肝硬化,肝肾综合征
丁型病毒性肝炎,肝硬化
胆汁返流性胃炎,胃溃疡
胆管癌,肝硬化腹水
大肠类癌,结肠息肉
毒蕈中毒,呼吸衰竭
敌鼠中毒,脑出血
大肠癌,贫血
大肠恶性淋巴瘤,腹水
Ehler-Danlos综合征,消化道出血
儿童胰腺功能不全并中性粒细胞减少症综合征,肺水肿
儿童腹痛,休克
呃逆症,胃肠道功能紊乱
非溃疡消化不良,肠易激综合征
粪类圆线虫病,脱水
腹绞痛综合征,贫血
腹膜后感染与脓肿,肾脓肿
腹膜后间隙出血,急性肾功能衰竭
腹膜后淋巴结炎,门静脉高压
腹膜后腔液体渗病,前列腺癌
腹膜后疝,中毒性休克综合征
腹膜间皮瘤,低血糖
腹腔动脉压迫综合征,恶心和呕吐
腹型癫痫综合征,水肿
腹主动脉血栓形成综合征,动脉瘤
腹卒中综合征,休克
Felty综合征,淀粉样变性
腹痛,休克
腹膜炎,脱水
腹泻,营养不良
反流性食管炎,食管穿孔
沙门氏菌属食物中毒,败血症
放射性肠炎,直肠癌
福尔马林中毒,休克
发芽马铃薯中毒,呼吸衰竭
副溶血性弧菌食物中毒,休克
非寄生虫性肝囊肿,腹痛
非酒精性脂肪性肝病,高脂血症
非霍乱弧菌感染,休克
高锰酸钾中毒,肺炎
肝-甲状腺综合征,胸膜炎
肝纤维化,丁型病毒性肝炎
肝纤维化, 血吸虫病
肝纤维化, 血色病
肝纤维化, 酒精性肝病
肝纤维化, 胆汁性肝硬化
肝纤维化, 原发性硬化性胆管炎
肝肺综合症,腹水
Gardner综合征,血栓形成
功能性呕吐,急性胃肠炎
功能性呕吐, 幽门梗阻
功能性呕吐, 胃扭转
功能性呕吐, 急性阑尾炎
功能性呕吐, 胆石症
功能性呕吐, 急性胰腺炎
功能性呕吐, 输尿管结石
功能性呕吐, 急性盆腔炎
功能性呕吐, 心肌梗死
功能性呕吐, 青光眼
肝性脊髓病,肝性脑病
肝性脊髓病, 休克
肝性脊髓病, 腹水
肝性脊髓病, 原发性肝癌
肝性脊髓病, 门静脉血栓形成
肝炎双重感染,肝癌
肝炎后综合征,腹腔脓肿
膈膨出和麻痹,脊椎结核
肝性脑病,肾功能不全
肝硬化,黄疸
肝脓肿,脓肿
功能性消化不良,恶心和呕吐
钩虫病,消化道出血
肝腺瘤,肝癌
肝外胆管损伤,休克
肝损伤,休克
肝囊肿,脾大
肝包虫囊肿,过敏性休克
膈下脓肿,贫血
肝血管瘤,肝囊肿
钩虫性十二指肠炎综合征,钩虫病
钩虫性十二指肠炎综合征, 嗜酸粒细胞增多症
膈先天性缺损,食管裂孔疝
膈疝,肠梗阻
肛管、直肠、结肠狭窄,便秘
膈扑动,猝死
含亚硝酸盐类植物性食物中毒,昏迷
化脓性汗腺炎,脓肿
回盲瓣综合征,腹泻
活动盲肠综合征,腹泻
横膈下结肠嵌入综合征,膈疝
黄疸,积聚
黑色素斑-胃肠多发性息肉综合征,肠梗阻
蛔虫病,胆道蛔虫病
蛔虫病, 急性胆囊炎
蛔虫病, 腹膜炎
蛔虫病, 蛔虫性肠梗阻
蛔虫病, 蛔虫性急性胰腺炎
蛔虫病, 胆道出血
蛔虫病, 败血症
蛔虫病, 膈下脓肿
蛔虫病, 失眠
蛔虫病, 癫痫
蛔虫病, 昏迷
霍乱样综合征,麻痹性肠梗阻
结、直肠黑变病,消化不良
结肠粪性穿孔,休克
结肠憩室病,肠梗阻
甲醇中毒,心律失常
局部麻醉药中毒,脱水
结核性腹膜炎,肠瘘
急性胃扩张,腹膜炎
急性化脓性胆管炎,腹膜炎
急性出血性坏死性肠炎,肺水肿
结肠闭锁,便秘
结肠直肠损伤,腹膜后感染与脓肿
结核性肠系膜淋巴结炎,肠梗阻
结肠扭转,腹膜炎
结肠瘘,营养不良
结肠癌,贫血
急性胃粘膜病变,腹膜炎
急性腐蚀性胃炎,萎缩性胃炎
急性单纯性胃炎,腹膜炎
假膜性肠炎,肠梗阻
假膜性肠炎, 中毒性休克综合征
家族性结肠息肉,休克
急性腹膜炎,溃疡病急性穿孔
酒精性肝病,神经炎
甲型肝炎,肝癌
急性胃肠炎,脱水
结肠息肉,结肠炎
急性胃炎,脱水
急性阑尾炎,脓毒症
巨膀胱-小结肠-肠蠕动不良综合征,营养不良
结缔组织性肠炎,急性阑尾炎
急性腹型-高脂血症综合征,胰腺炎
Turcot综合征,肠梗阻
急性结肠假性梗阻综合征,败血症
急性胆囊炎,胆汁性腹膜炎
急性胆囊炎, 肝脓肿
急性胆囊炎, 胆结石
急性胆囊炎, 低钠血症
急性胆囊炎, 营养不良
急性胆囊炎, 腹泻
急性胆囊炎, 呃逆
急性胆囊炎, 胆道出血
急性胆囊炎, 肠梗阻
急性胆囊炎, 黄疸
吉尔伯特综合征,病毒性肝炎
结石性胆囊炎,胆囊炎
急性胰腺炎,胰腺脓肿
急性胰腺炎, 胰腺假性囊肿
急性胰腺炎, 休克
急性胰腺炎, 血尿
急性胰腺炎, 消化道出血
急性胰腺炎, 弥散性血管内凝血
急性胰腺炎, 意识障碍
急性胰腺炎, 昏迷
急性胰腺炎, 败血症
急性胰腺炎, 慢性胰腺炎
结肠损伤,贫血
可拉明中毒,呼吸衰竭
奎宁中毒,哮喘
克罗恩病,肠梗阻
克罗恩病, 腹腔脓肿
克罗恩病, 消化道出血
克罗恩病, 缺铁性贫血
克罗恩病, 结肠癌
α1-抗胰蛋白酶缺乏症,肺气肿
溃疡性结肠炎,直肠癌
磷中毒,肺水肿
轮状病毒所致胃肠炎,肠套叠
轮状病毒所致胃肠炎, 溶血尿毒综合征
轮状病毒所致胃肠炎, 脱水
轮状病毒所致胃肠炎, 肺炎
轮状病毒所致胃肠炎, 病毒性心肌炎
氯丙嗪类中毒,斜颈
氯喹中毒,耳聋
淋菌性肛门直肠炎,尿道狭窄
阑尾寄生虫病,急性腹膜炎
轮状病毒性肠炎,肠套叠
轮状病毒性肠炎, 过敏性紫癜
轮状病毒性肠炎, 溶血尿毒症综合征
轮状病毒性肠炎, 弥漫性血管内凝血
良性阵发性腹膜炎综合征,多发性神经炎
痢疾后综合症,心内膜炎
蓝色橡皮泡痣综合症,贫血
老年急性阑尾炎,腹膜炎
淋巴结-胆道综合征,胆石症
郎-奥韦综合征,艾滋病
旅游者腹泻,贫血
慢性胰腺炎,胰瘘
Milk-Alkali综合征,肾功能衰竭
麦胶性肠病,贫血
慢性溃疡性结肠炎,腹胀
慢性溃疡性结肠炎, 腹膜炎
慢性溃疡性结肠炎, 腹痛
慢性溃疡性结肠炎, 结节性红斑
慢性溃疡性结肠炎, 肿胀
慢性溃疡性结肠炎, 脓肿
慢性溃疡性结肠炎, 多形红斑
慢性溃疡性结肠炎, 鹅口疮
慢性溃疡性结肠炎, 贫血
慢性溃疡性结肠炎, 心肌炎
弥漫性食管痉挛,晕厥
慢性胃炎,胃癌
毛石肠梗阻综合征,腹膜炎
盲袢综合征,结肠炎
尼曼－匹克氏病,痴呆
农药中毒,猝死
脑肝肾综合征,消化道出血
浓缩胆汁综合征,新生儿溶血病
诺沃克类病毒胃肠炎,脱水
粘连性肠梗阻,腹痛
囊性纤维化,关节炎
脾破裂,失血性休克
葡萄球菌食物中毒,腹泻
硼酸中毒,贫血
脾功能亢进,贫血
脾-肝综合征,消化不良
Plummer-Vinson综合征,食管癌
贲门癌,胃肠道癌转移卵巢
贲门癌, 胃肠道癌皮肤转移
盆底痉挛综合症,痔疮
强酸、强碱中毒,肺水肿
汽油、煤油中毒,脑水肿
汽油中毒,咳嗽
强碱类中毒,肺水肿
驱蛔灵中毒,昏迷
缺血性结肠炎,高血压
缺血性结肠炎, 动脉硬化
缺血性结肠炎, 心脏病
缺血性结肠炎, 休克
缺血性结肠炎, 肠梗阻
缺血性结肠炎, 麻痹性肠梗阻
缺血性结肠炎, 休克
缺血性肝炎,休克
倾倒综合征,低血糖
脐膨出-巨舌-巨大躯体综合征,肝母细胞瘤
铅中毒,偏瘫
乳头状腺瘤,电解质紊乱
热带口炎性腹泻,贫血
瑞氏综合症,脑水肿
杀虫脒中毒,出血性膀胱炎
水合氯醛中毒,血尿
嗜酸细胞性胃肠炎,腹水
食管异物,脓肿
十二指肠先天性缺如、闭锁和狭窄,营养不良
十二指肠血管性压迫综合征,营养不良
神经性呕吐,营养不良
食管癌,上消化道出血
上消化道出血,腹膜炎
十二指肠憩室梗阻性黄疸综合征,上消化道出血
十二指肠壅积症,营养不良
神经型食物中毒,肺炎
食物中毒,休克
食管失弛缓症,膈疝
食管憩室,肺脓肿
食管破裂,吞咽困难
食管平滑肌瘤,猝死
食管瘢痕性狭窄,食管损伤
食管贲门粘膜撕裂综合征,腹胀
输入袢综合征,休克
食管损伤,腹膜炎
石膏综合征,休克
十二指肠憩室,黄疸
十二指肠憩室, 肠梗阻
十二指肠白点综合征,萎缩性胃炎
神经性肠梗阻综合症,急性弥漫性腹膜炎
杀鼠剂中毒,贫血
锑中毒,肝炎
铁中毒,肾功能衰竭
嗜酸性细胞胃肠炎,肠梗阻
特发性腹膜后纤维化,克罗恩病
铊中毒,急性中毒性脑炎
铊中毒, 头痛
铊中毒, 嗜睡症
铊中毒, 昏迷
铊中毒, 呼吸衰竭
铊中毒, 血尿
铊中毒, 蛋白尿
糖原累积症,腹水
特发性非硬化性门脉高压综合征,门静脉血栓形成
吞气症,小儿呕吐
胃癌,幽门梗阻
无机磷中毒,蛋白尿
五氯酚钠中毒,咳嗽
胃心综合征,胃癌
胃损伤,腹膜炎
胃损伤, 感染性休克
胃损伤, 纵隔气肿
胃损伤, 气胸
胃损伤, 胸壁皮下气肿
胃下垂,失眠
胃轻瘫综合征,神经性厌食症
胃平滑肌肉瘤,上消化道出血
胃扭转,胃穿孔
胃空肠输入袢综合征,休克
胃节律紊乱综合征,功能性消化不良
胃节律紊乱综合征, 胃炎
胃节律紊乱综合征, 胃食管反流病
胃节律紊乱综合征, 消化性溃疡
胃节律紊乱综合征, 门静脉高压症
胃肠道外瘘,呼吸衰竭
胃、十二指肠溃疡急性穿孔,中毒性休克综合征
胃、十二指肠溃疡出血,失血性休克
胃肠型食物中毒,腹泻
胃肠型食物中毒, 腹痛
胃肠型食物中毒, 急性出血性坏死性肠炎
胃肠型食物中毒, 头痛
胃肠型食物中毒, 荨麻疹
胃肠型食物中毒, 脱水
胃肠型食物中毒, 休克
胃泌素瘤,腹泻
胃肠食物不耐受症,水肿
胃肠食物不耐受症, 荨麻疹
胃肠食物不耐受症, 紫癜
胃肠食物不耐受症, 支气管哮喘
胃肠食物不耐受症, 过敏性鼻炎
胃肠食物不耐受症, 晕厥
胃肠食物不耐受症, 低血压
胃肠道功能紊乱,头痛
胃粘膜脱垂症,幽门梗阻
胃切除后胆汁返流性胃炎,脱水
胃潴留,贫血
胃病,胃溃疡
胃病, 急性胃炎
胃病, 慢性胃炎
胃病, 十二指肠溃疡
胃病, 胃、十二指肠溃疡出血
胃病, 胃息肉
胃病, 胃粘膜脱垂症
胃病, 急性胃扩张
胃病, 幽门梗阻
胃病, 急性弥漫性腹膜炎
胃病, 胃癌
无胆色素尿性黄疸综合征,红斑
吻合口溃疡,急性弥漫性腹膜炎
Whipple病,腹泻
胃肠道伴癌综合征,水肿
戊型病毒性肝炎,肝肾综合征
网膜肿瘤,便秘
网膜原发性节段性梗死,网膜炎
网膜原发性节段性梗死, 结核性腹膜炎
网膜原发性节段性梗死, 急性阑尾炎
网膜原发性节段性梗死, 急性胆囊炎
网膜原发性节段性梗死, 急性盆腔炎
网膜炎,阑尾炎
网膜炎, 胃、十二指肠溃疡急性穿孔
网膜囊肿,腹痛
伪膜性肠炎,昏迷
胃息肉,幽门梗阻
胃良性肿瘤,吞咽困难
胃良性肿瘤, 幽门梗阻
胃良性肿瘤, 水肿
胃良性肿瘤, 肠套叠
胃良性肿瘤, 腹膜炎
胃良性肿瘤, 胃平滑肌瘤
胃良性肿瘤, 神经纤维瘤
小肠损伤,休克
小儿时期常见的呕吐,吸入性肺炎
先天性肠闭锁与狭窄,尿道下裂
先天性肠旋转异常,肠系膜囊肿
蝎子螫伤,肺水肿
锌中毒,休克
消化性溃疡,胃穿孔
先天性胆道闭锁,黄疸
消化道重复畸形,腹痛
小肠系膜损伤,休克
新生儿胆红素脑病,耳聋
先天性肥厚性幽门狭窄,黄疸
小儿厌食症,小儿营养不良
先天性巨结肠,肠梗阻
小儿呕吐,吸入性肺炎
