disease_name,cure_method,cure_department,cure_probability
肺炎性假瘤,"['康复治疗', '支持性治疗', '手术治疗']","['外科', '心胸外科']",86%
肺隐球菌病,"['药物治疗', '支持治疗']","['内科', '呼吸内科']",87%
肺癌,"['药物治疗', '手术治疗', '放射治疗', '化疗', '靶向药物治疗', '消融', '粒子植入']","['肿瘤科', '肿瘤内科']",根据病期和治疗敏感性
镉中毒,"['药物治疗', '支持性治疗']",['急诊科'],45%-55%
感冒,"['对症治疗', '中医治疗', '支持性治疗']","['内科', '呼吸内科']",97%
感染性休克,"['及时补液，积极抗感染，营养', '支持性治疗']",['急诊科'],根据病情的不同时期，早期治愈率高，晚期死亡率高
过敏性休克,['一旦发生就地抢救'],['急诊科'],80%
Goodpasture综合征,"['药物治疗', '康复治疗']","['内科', '呼吸内科']",40-60%
过敏性肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",70%
汞中毒,"['药物治疗', '支持性治疗']",['急诊科'],30%
呼吸道异物,"['手术治疗', '支持性治疗']","['内科', '呼吸内科']",70%
呼吸性细支气管相关的间质性肺疾病,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",30--50%
呼吸衰竭,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",70%
呼吸道合胞病毒肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
减压病,"['支持性治疗', '康复治疗']","['外科', '感染科']",60%
急性呼吸衰竭,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
急性肺脓肿,"['抗生素药物治疗', '对症', '支持性治疗', '必要时手术治疗']","['内科', '呼吸内科']",80-90%
军团病,"['大环内酯类或氟喹诺酮类药物治疗', '支持性治疗']","['内科', '呼吸内科']",85%
急性呼吸窘迫综合征,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",60-85%
军团菌病,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",91%
结核性脓胸,"['手术治疗', '药物治疗', '支持性治疗']",['传染科'],70%
金黄色葡萄球菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",96%
咖啡因与氨茶碱中毒,"['药物治疗', '支持性治疗']",['急诊科'],60%
卡氏肺囊虫肺炎,"['磺胺类药物治疗为主', '对症支持性治疗']","['内科', '呼吸内科']",60-80%
咯血,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",60%
硫化氢中毒,"['药物治疗', '支持性治疗']",['急诊科'],60-70%
老年肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",65%
流行性感冒,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",96%
免疫缺陷者肺炎,"['药物治疗', '支持治疗', '原发病治疗']","['内科', '呼吸内科']",10%
镍中毒,"['药物治疗', '支持性治疗']",['急诊科'],80%
铍中毒,"['药物治疗', '支持性治疗']",['急诊科'],65%-75%
缺血缺氧性脑病,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",75%
气胸,"['手术治疗', '支持性治疗']","['内科', '呼吸内科']",86.2%
球孢子菌病,"['抗真菌治疗', '，手术治疗', '，支持性治疗']",['传染科'],75%
禽流感,"['药物治疗', '支持性治疗']",['传染科'],75%
迁延性肺嗜酸粒细胞浸润症,"['糖皮质激素等药物治疗', '对症治疗']","['内科', '呼吸内科']",80%以上
气管肿瘤,"['手术治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",50-70%
气管先天性疾病,"['手术治疗', '抗感染治疗']","['外科', '心胸外科']",70%
气管、支气管狭窄,"['手术治疗', '支持性治疗']","['外科', '心胸外科']",75%
乳酸性酸中毒,"['药物治疗', '支持性治疗']",['急诊科'],50%
热带性肺嗜酸粒细胞浸润症,"['驱丝虫及治疗寄生虫药物治疗', '对症支持性治疗']","['内科', '呼吸内科']",65%
手术后和创伤后肺炎,"['抗生素治疗', '祛痰药物治疗', '加强翻身拍背促排痰护理']","['内科', '呼吸内科']",93%
鼾症,"['手术治疗', '康复治疗']","['内科', '呼吸内科']",60%
特发性肺纤维化,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",70%
脱屑性间质性肺炎,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '呼吸内科']",50%
特发性阻塞性细支气管炎伴机化性肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",75%
特发性含铁血黄素沉着症,['无特效治疗方法，对症治疗'],"['内科', '呼吸内科']",无法治愈
外源性过敏性肺泡炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
小儿结核病,"['抗结核治疗', '支持性治疗', '对症治疗']","['儿科', '儿科综合']",95%
新生儿呼吸窘迫综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",85%
吸入性损伤,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '心胸外科']",60%
小儿金黄色葡萄球菌肺炎,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",85%--98%
小儿急性支气管炎,['抗感染及止咳平喘等对症及支持治疗'],"['儿科', '小儿内科']",99%
小儿流行性感冒,"['药物治疗', '对症支持综合治疗']","['儿科', '小儿内科']",99.9%
小儿急性喉炎,"['药物治疗', '康复治疗', '支持性治疗']","['儿科', '小儿内科']",99%
矽肺,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",不易治愈
新生儿窒息,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",80%
小儿支原体肺炎,"['对症治疗', '支持治疗']","['儿科', '小儿内科']",99.%
新生儿肺不张,"['抗感染治疗', '纤支镜气管冲洗术']","['儿科', '小儿内科']",95%
小儿感冒,"['药物治疗', '对症及支持治疗']","['儿科', '小儿内科']",99%以上
哮喘,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
小儿哮喘,['药物治疗'],"['儿科', '小儿内科']",80%以上
小儿肺炎,['药物治疗'],"['儿科', '小儿内科']",95%以上
新生儿呼吸暂停,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",95%
先天性肺囊肿,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '心胸外科']",85%
休克型肺炎,['抗菌治疗、抗休克治疗、纠正酸中毒，糖皮质激素应用以及防治并发症的发生'],"['内科', '呼吸内科']",80%
吸入性肺炎,"['高浓度吸氧', '排出或吸出异物', '抗感染', '基础疾病治疗及支持性治疗']","['内科', '呼吸内科']",95%
腺病毒肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",90%
哮喘性肺嗜酸粒细胞浸润症,"['抗曲霉菌药物治疗', '糖皮质激素治疗', '对症治疗']","['内科', '呼吸内科']",40-80%
细菌性肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",97%
新生儿湿肺,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",大于90%。
胸壁结核,"['康复治疗', '手术治疗', '支持性治疗']",['传染科'],70%
乙醚中毒,"['药物治疗', '对症治疗', '支持性治疗']",['急诊科'],30%
淹溺,"['及时有效的心肺复苏，药物治疗', '支持性治疗']",['急诊科'],根据现场救治的及时性而定
衣原体肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",70%
羊水与胎粪吸入综合征,"['药物治疗', '支持性治疗']","['妇产科', '产科']",95%
一氧化碳中毒,"['药物治疗', '氧疗', '支持性治疗']",['急诊科'],70%
阻塞性肺气肿,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",60%
支原体肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",60-80%
支气管扩张,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",80%
支气管肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
变应性血管炎,['药物治疗'],"['外科', '普外科']",绝大多数均可治愈
病毒性心肌炎,"['药物治疗', '支持性治疗，早期诊断和治疗，多数预后良好']","['内科', '心内科']",70%
病态窦房结综合征,"['药物治疗', '支持性治疗']","['内科', '心内科']",70%
川崎病,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",95%
穿透性心脏外伤,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '心胸外科']",64%
窦性停搏,"['药物治疗', '支持性治疗']","['内科', '心内科']",80%
单心室,['手术治疗'],"['外科', '心胸外科']",60%
单心房,['手术治疗'],"['外科', '心胸外科']",对症治疗为主，无法根治
单纯性下肢静脉曲张,['手术治疗'],"['外科', '普外科']",95%
动脉硬化,"['药物治疗（中医药治疗，西药治疗）', '支持性治疗', '介入治疗', '外科手术', '中医治疗']","['内科', '心内科']",85%
动脉导管未闭,"['手术治疗', '药物治疗']","['内科', '心内科']",98%
窦性心动过速,"['药物治疗', '中医治疗', '支持性治疗']","['内科', '心内科']",20%-40%
动脉瘤,['手术治疗'],"['肿瘤科', '肿瘤外科']",70%
二尖瓣关闭不全,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",95%以上
二尖瓣狭窄,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",手术治愈率95%以上
二尖瓣脱垂综合征,"['药物治疗', '手术治疗']","['内科', '心内科']",65%
二尖瓣环钙化,"['手术治疗', '药物治疗']","['内科', '心内科']",60%
肺性脑病,"['药物治疗', '病因治疗', '支持性治疗']","['内科', '神经内科']",70%
风湿性二尖瓣狭窄,['手术治疗为主，若失去手术时机，可药物支持性治疗'],"['外科', '心胸外科']",95%
风湿性二尖瓣关闭不全,['手术治疗'],"['外科', '心胸外科']",75%
肥厚型梗阻性心肌病,"['药物治疗', '手术治疗']","['外科', '心胸外科']",60%
房室管畸形,"['手术治疗', '药物治疗']","['外科', '心胸外科']",手术治愈率约60%
法洛四联症,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '心胸外科']",78%
风湿热,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",80%
肺动脉口狭窄,['手术治疗'],"['内科', '心内科']",80%
肥厚型心肌病,"['药物治疗', '手术治疗', '支持性治疗', '化学消融术']","['内科', '心内科']",60-70%
房室传导阻滞,"['药物治疗', '支持性治疗']","['内科', '心内科']",85%
肺动静脉瘘,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '心胸外科']",45%
高血压危象,['药物治疗，改变不良生活方式'],"['内科', '心内科']",只能缓解病情，不能治愈，必须长期服药维持
高血压,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '心内科']",0.0001%(终身性疾病)
冠状动脉终止异常,"['手术治疗', '药物治疗']","['外科', '心胸外科']",95%
冠状动脉异位起源,['手术治疗'],"['外科', '心胸外科']",75%
感染性心内膜炎,"['药物治疗', '手术治疗', '支持治疗']","['内科', '心内科']",60%
冠心病,['药物治疗，介入治疗，冠脉搭桥治疗'],"['内科', '心内科']",不能治愈
后天性三尖瓣关闭不全,"['药物治疗', '支持性治疗']","['外科', '心胸外科']",75%
后天性动静脉瘘,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",82%
间歇性眼球突出症,"['药物治疗', '手术治疗', '支持性治疗']","['五官科', '眼科']",30%
急性心肌梗死,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '心胸外科']",60%
酒精性心肌病,"['药物治疗', '支持性治疗']","['内科', '心内科']",70%
急性心功能不全,"['药物治疗', '支持性治疗']","['内科', '心内科']",65%
急性感染性心内膜炎,"['药物治疗', '支持治疗', '手术治疗']","['内科', '心内科']",60%
急性心包炎,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",70%
急性心力衰竭,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
甲亢,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",70%
扩张型心肌病,"['对症治疗', '药物治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",40-50%
克山病,"['药物治疗', '支持性治疗']","['内科', '心内科']",40%
雷诺病,"['中西医结合药物治疗局部物理治疗', '中药泡洗']","['内科', '风湿免疫科']",80%
慢性肺源性心脏病,"['药物治疗', '支持治疗']","['内科', '心内科']",是不能治愈的疾病
缺血性心肌病,"['药物治疗', '支持性治疗']","['内科', '心内科']",60%
四肢血栓性浅静脉炎,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '普外科']",60%
三尖瓣下移畸形,['手术治疗'],"['内科', '心内科']",75%
三尖瓣狭窄,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '心胸外科']",90%
三尖瓣关闭不全,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '心内科']",手术治愈率达95%
三尖瓣闭锁,['手术治疗'],"['外科', '心胸外科']",50%
三房心,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '心胸外科']",2.5%
颈动脉体瘤,"['手术治疗', '药物治疗']","['肿瘤科', '肿瘤外科']",55%
完全性肺静脉异位回流,"['药物治疗', '支持性治疗']","['外科', '心胸外科']",90%
完全性大动脉错位,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",75%
休克,"['及时补充血容量，积极治疗原发病，药物治疗', '支持性治疗']",['急诊科'],根据休克的不同时期治愈率区别很大
新生儿缺氧缺血性脑病,['支持治疗包括优化通气和氧合、维持正常的血压心排出量、纠正酸中毒、维持血糖、控制惊厥等；神经保护治疗主'],"['儿科', '小儿内科']",总死亡率12.5%，神经障碍后遗症发生率14%
新生儿硬肿症,"['药物治疗', '支持性治疗', '中医治疗']","['儿科', '小儿外科']",70%
血管瘤,['口服药物、外用药物、药物瘤体注射、激光、手术切除、放射或冷冻'],"['外科', '普外科']",95%
先天性风疹,"['药物治疗', '康复治疗']",['传染科'],75%
血栓闭塞性脉管炎,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '普外科']",70%
胸降主动脉动脉瘤,"['药物治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",70%
胸主动脉夹层动脉瘤,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",90%
心脏神经官能症,"['支持性治疗', '康复治疗']","['内科', '神经内科']",80%
心内膜弹性纤维增生症,['药物治疗，手术治疗'],"['儿科', '儿科综合']",60%
心绞痛,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",60%
心肌梗塞并发心室间隔穿破,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",80%
心肌梗塞并发二尖瓣关闭不全,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",70%
心肌梗死,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",30%
心功能障碍,"['药物治疗', '支持性治疗']","['内科', '心内科']",75%
心包囊肿,['手术治疗或者保守治疗'],"['外科', '心胸外科']",80%
小儿高血压,['药物治疗，介入治疗，手术治疗'],"['儿科', '小儿内科']",55%
小儿充血性心力衰竭,"['药物治疗', '手术治疗', '支持性治疗']","['儿科', '小儿内科']",75%
心肌梗塞并发左心室室壁瘤,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",60%
先天性主动脉缩窄,['手术治疗'],"['外科', '心胸外科']",90%
先天性主动脉弓畸形,"['手术治疗', '支持性治疗']","['儿科', '儿科综合']",90%
先天性主动脉瓣下狭窄,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",40%
先天性主动脉瓣上狭窄,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",85%
先天性动脉导管未闭,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",90%
先天性动静脉瘘,"['药物治疗', '手术治疗', '支持性治疗', '物理治疗']","['外科', '普外科']",30%
先天性二尖瓣畸形,"['手术治疗', '药物治疗']","['外科', '心胸外科']",50%
心包积液,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",30%
心肌病,"['药物治疗', '支持性治疗']","['内科', '心内科']",40%
心律失常,"['药物治疗', '手术治疗']","['内科', '心内科']",95%
限制型心肌病,"['手术治疗', '药物治疗']","['内科', '心内科']",对症治疗为主，无法根治
心房扑动与心房颤动,"['病因治疗', '药物治疗']","['内科', '心内科']",75%
心室内传导阻滞,['主要是主要针对病因进行治疗，必要时应用起搏器'],"['内科', '心内科']",75%
先天性主动脉瓣窦动脉瘤破裂,['手术治疗'],"['外科', '心胸外科']",80%
心包肿瘤,"['手术治疗', '药物治疗', '支持性治疗', '放射治疗']","['肿瘤科', '肿瘤外科']",60%
血管运动性鼻炎,['药物治疗'],"['五官科', '耳鼻喉科']",药物治疗可有效改善症状
胸腔积液,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '心胸外科']",80%
心肌炎,"['药物治疗', '支持性治疗']","['内科', '心内科']",95%
心脏内粘液瘤,['手术治疗'],"['肿瘤科', '肿瘤内科']",90%
心室间隔缺损,['手术治疗'],"['外科', '心胸外科']",99%
羊水过多,"['药物治疗', '对症治疗', '支持性治疗']","['妇产科', '妇科']",80%
原发性下肢静脉瓣膜关闭不全,"['中医药治疗', '西医药治疗', '手术治疗', '物理性治疗']","['外科', '普外科']",70%~95%
亚急性感染性心内膜炎,"['药物治疗', '，支持性治疗，外科治疗']","['内科', '心内科']",50%-60%
乙状窦血栓性静脉炎,"['手术治疗', '康复治疗', '支持性治疗']","['五官科', '耳鼻喉科']",60%
左心室双出口,['手术治疗'],"['外科', '心胸外科']",60%
左心发育不良,"['手术治疗', '药物治疗']","['外科', '心胸外科']",50%
自发性血胸,"['电视胸腔镜微创治疗', '胸腔闭式引流术', '支持性治疗']","['外科', '心胸外科']",98%
主-肺动脉隔缺损,"['手术治疗', '药物治疗改善心功能']","['外科', '心胸外科']",95%
主动脉夹层,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",外科手术治愈率约为80%以上
主动脉瓣狭窄合并关闭不全,"['手术治疗', '药物治疗']","['外科', '心胸外科']",70%
主动脉瓣膜部狭窄,['手术治疗'],"['外科', '心胸外科']",70%
阵发性室上性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",85%
早搏,['药物治疗'],"['内科', '心内科']",80%
主动脉瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",外科治愈率90%以上
主动脉瓣狭窄,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '心内科']",手术治愈率95%以上
主动脉瓣关闭不全,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",手术治愈率95%以上
阵发性室性心动过速,"['药物治疗', '支持性治疗']","['内科', '心内科']",69%
中暑衰竭,['及时补充血容量及对症支持治疗'],['急诊科'],60--80%
阿米巴肝脓肿,"['药物治疗', '手术治疗', '支持性治疗']","['其他科室', '康复科']",70%
氨基甲酸酯类农药中毒,"['药物治疗', '支持性治疗']",['急诊科'],80-85%
阿米巴肠病,"['药物治疗', '支持性治疗']","['内科', '消化内科']",90%
阿片类药物中毒,"['药物治疗', '支持性治疗']",['急诊科'],75%
柏-查综合征,['介入治疗、肝移植治疗、药物治疗'],"['内科', '消化内科']",55%
Brenneman综合征,"['对症治疗', '药物治疗', '康复治疗']","['内科', '消化内科']",52%
巴瑞特综合征,"['药物治疗', '康复治疗', '内镜下手术治疗']","['内科', '消化内科']",50%
半乳糖血症,"['支持性治疗', '饮食治疗']","['内科', '消化内科']",1%
暴发性肝功能衰竭,"['药物治疗', '支持疗法', '康复治疗']","['内科', '消化内科']",75%
鞭虫病,"['药物治疗', '支持性治疗']","['外科', '肛肠科']",90%
布卡综合症,"['药物治疗', '康复治疗']","['内科', '消化内科']",30%
暴发性肝炎样综合征,"['药物治疗', '支持性治疗']",['肝病'],72%
便秘,['药物治疗如泻药、促动力药，中医理疗'],"['内科', '消化内科']",75%
吡唑酮类中毒,"['药物治疗', '支持性治疗']",['急诊科'],65%
Barrett食管,"['药物治疗', '康复治疗', '手术治疗']","['内科', '消化内科']",外科手术治愈率约为65%
贲门失弛缓症,"['药物治疗', '手术治疗', '康复治疗']","['内科', '消化内科']",70%
钡中毒,"['及时洗胃', '药物治疗', '支持性治疗']",['急诊科'],85%
变形杆菌食物中毒,"['药物治疗', '支持性治疗']",['急诊科'],90%
蓖麻子中毒,"['药物治疗', '支持性治疗']",['急诊科'],90%
铋中毒,"['药物治疗', '支持性治疗']",['急诊科'],10%--30%
丙型病毒性肝炎,['药物治疗'],"['内科', '消化内科']",90%
肠病性肢皮炎综合征,"['药物治疗', '对症治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
肠道菌群失调症,['药物治疗'],"['内科', '消化内科']",95%
肠扭转综合征,"['药物治疗', '手术治疗', '康复治疗']","['外科', '普外科']",50%
肠气肿综合征,"['药物治疗', '手术治疗', '康复治疗']","['内科', '消化内科']",80%
肠系膜淋巴结结核,"['抗结核治疗', '支持治疗']","['内科', '消化内科']",80%
肠系膜上动脉压迫综合征,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '消化内科']",50%
粗制棉子油中毒,['对症支持性治疗'],['急诊科'],80%
肠扭转,"['药物治疗', '手术治疗', '康复治疗']","['外科', '普外科']",60%
肠套叠,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",外科手术治愈率约为80%
肠间脓肿,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",70%
残胃癌,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",外科手术治愈率约为45-65%
残窦综合征,"['药物治疗', '手术治疗', '康复治疗']","['内科', '消化内科']",75%
肠易激综合征,"['药物治疗', '康复治疗']","['内科', '消化内科']",85%
肠梗阻,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",85%
苍耳中毒,"['药物治疗', '支持性治疗']",['急诊科'],60%
肠道病毒所致各系统感染,"['药物治疗', '对症治疗', '康复治疗']","['内科', '消化内科']",40%
肠系膜上动脉栓塞,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '消化内科']",70%
肠道气囊肿症,"['药物治疗', '康复治疗']","['内科', '消化内科']",75%
餐后血糖过低症,"['药物治疗', '支持性治疗']","['内科', '消化内科']",75%
肠结核,"['抗结核治疗', '，对症治疗，支持治疗，手术治疗']",['传染科'],80%
肠系膜上静脉血栓形成,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '普外科']",95%
大网膜扭转,"['药物治疗', '康复治疗']","['外科', '普外科']",70%
胆道运动功能障碍综合征,"['药物治疗', '内镜治疗', '手术治疗']","['内科', '消化内科']",70%
胆道张力低下综合征,"['药物治疗', '支持性治疗']","['内科', '消化内科']",60-70%
胆囊管综合征,"['药物治疗', '手术治疗', '康复治疗']","['外科', '肝胆外科']",75%(外科手术治疗)
胆石性肠绞塞综合征,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '消化内科']",30%
胆汁淤积性黄疸,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '消化内科']",90%
第五日综合征,"['药物治疗', '支持性治疗']","['内科', '消化内科']",50%
蛋白丧失胃肠综合征,"['药物治疗', '康复治疗']","['内科', '消化内科']",40%
胆囊-结肠肝曲粘连综合征,"['手术治疗', '药物治疗', '康复治疗']","['外科', '肝胆外科']",65%
胆石症,['药物治疗如消炎利胆措施，感染者给予抗生素治疗，胆管梗阻给予内镜或手术减压，大部分结石须手术治疗'],"['内科', '消化内科']",70%
胆囊切除术后综合征,"['药物治疗', '手术治疗', '支持治疗']","['内科', '消化内科']",70%
大肠息肉,['切除后药物防治'],"['内科', '消化内科']",90%
多发性消化道息肉综合征,"['药物治疗', '康复治疗']","['内科', '消化内科']",99%
大肠梗阻,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '肛肠科']",90%
胆汁性肝硬化,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '消化内科']",60%
丁型病毒性肝炎,['药物治疗'],['肝病'],可以达到50%以上
胆汁返流性胃炎,['药物治疗如胆汁吸附剂、促动力药物'],"['内科', '消化内科']",80%
胆管癌,"['手术治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",外科手术治愈率约为75%
大肠类癌,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '消化内科']",60%
毒蕈中毒,"['药物治疗', '支持性治疗']",['急诊科'],根据不同中毒类型，一般为60%
敌鼠中毒,"['药物治疗', '支持性治疗']",['急诊科'],80%
大肠癌,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",65%
大肠恶性淋巴瘤,"['手术治疗', '药物治疗', '康复治疗']","['肿瘤科', '肿瘤外科']",35%
Ehler-Danlos综合征,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",35%
儿童胰腺功能不全并中性粒细胞减少症综合征,"['药物治疗', '支持性治疗']","['内科', '消化内科']",65%
儿童腹痛,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '消化内科']",80%
呃逆症,['药物治疗如利他林、胃复安'],"['内科', '消化内科']",90%
非溃疡消化不良,"['药物治疗', '心理治疗', '对症治疗', '支持性治疗']","['内科', '消化内科']",95%
分流性高胆红素血症综合征,"['药物治疗', '支持性治疗']","['内科', '消化内科']",40%
粪类圆线虫病,"['药物治疗', '支持性治疗']","['外科', '肛肠科']",65%
腹肌缺如综合征,"['手术治疗', '支持性治疗']","['内科', '消化内科']",75%
腹绞痛综合征,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '消化内科']",70%
腹膜后感染与脓肿,"['手术治疗', '药物治疗', '康复治疗']","['内科', '消化内科']",85%
腹膜后间隙出血,"['药物治疗', '手术治疗', '康复治疗']","['内科', '消化内科']",60%
