disease_name,check_method
呼吸衰竭,"['肺功能检查', '胸部CT检查', '胸部平片', '氧分压', '通气贮量比', '每分钟静息通气量（VE）', '气体分布', '抗军团菌抗体试验', '胶乳凝集抑制试验(LAI)', '二氧化碳分压（PCO2,PCO2）']"
呼吸道合胞病毒肺炎,"['胸部CT检查', '痰液细菌培养', '痰液病原体检查', '痰液的一般性状检查', '胸部平片', '痰液细菌涂片检查']"
减压病,"['多普勒超声心动图', '核磁共振成像(MRI)', '钼靶X线检查']"
急性呼吸衰竭,"['心电图', '二氧化碳结合力', '标准碳酸氢盐(SB)', '血氧饱和度', '氧分压']"
急性肺脓肿,"['胸部CT检查', '肺量计检测', '支气管镜检查', '脱落细胞检查', '体位引流', '胸部平片', '痰液中细胞分类', '痰液的一般性状检查']"
军团病,"['胸部CT检查', '血常规', '酶联免疫吸附试验', '肾功能检查', '胸部平片', '尿常规', '抗军团菌抗体试验', '痰液病原体检查']"
急性呼吸窘迫综合征,"['胸部CT检查', '肺顺应性(C)', '胸部平片', '肺毛细血管楔压', '肺泡气-动脉血氧分压差']"
军团菌病,"['胸部CT检查', '血常规', '军团菌血清学试验', '胸部平片', '尿常规', '肾功能检查', '痰液病原体检查', '酶联免疫吸附试验']"
结核性脓胸,"['痰液中晶体', '胸部CT检查', '金伯克现象', '胸部平片', '血常规', '胸腔镜检查', '痰液细菌培养', '痰液病原体检查']"
金黄色葡萄球菌肺炎,"['胸部平片', '胸部CT检查', '痰液病原体检查', 'β-内酰胺酶', '痰液细菌涂片检查', '痰培养']"
咖啡因与氨茶碱中毒,"['心电图', '肾功能检查']"
卡氏肺囊虫肺炎,"['痰液细菌培养', '肺活检', '胸部平片']"
咯血,"['心电图', '胸部CT检查', '血常规', '胸部平片', '支气管镜检查', '便常规']"
硫化氢中毒,"['血液硫化血红蛋白', '尿常规', '一氧化碳', '血氧含量', '红细胞碱粒凝集试验']"
老年肺炎,"['胸部CT检查', '胸部平片', '血常规', '痰液病原体检查', '纤维支气管镜检查', '免疫电泳']"
流行性感冒,"['体温测量', '脉搏', '肺和胸膜听诊', '副流感病毒抗体']"
免疫缺陷者肺炎,['肺活检']
镍中毒,"['全血镍', '全血镍（Ni）', '胸部CT检查', '尿镍（Ni）', '胸部平片']"
铍中毒,"['FBC玫瑰花试验', '胸部平片', '尿铍', '白细胞移动抑制试验', '尿钙']"
缺血缺氧性脑病,"['脑电图检查', '脑神经检查', '颅脑CT检查', '颅脑超声检查', '脑多普勒超声（TCD）', '脑脊液游离型髓鞘碱性蛋白抗体', '脑脊液游离型髓鞘碱性蛋白']"
气胸,"['肺弥散功能测定（DL）', '呼吸道粘液-纤毛清除功能测定', '金伯克现象', '肺和胸膜触诊', '硬币叩击试验', '硬币叩击征', '胸部平片', '胸部CT检查', '动脉血氧分压(PaO2)']"
球孢子菌病,"['痰液的一般性状检查', '血清免疫球蛋白测定', '浆细胞', '真菌组织病理学']"
禽流感,"['胸部平片', '尿常规', '病毒感染免疫检测', '流感病毒抗体']"
迁延性肺嗜酸粒细胞浸润症,"['肺功能检查', '血常规', '胸部平片', '胸部CT检查']"
气管肿瘤,"['胸部平片', '胸部MRI', '胸部CT检查', '纤维支气管镜检查', '血常规']"
气管先天性疾病,"['支气管造影', '胸部CT检查', '胸部平片']"
气管、支气管狭窄,"['支气管造影', '胸部平片', '支气管镜检查']"
乳酸性酸中毒,"['阴离子隙', '胃液乳酸定性试验', '胃液乳酸测定', '红细胞乳酸生成率', '血乳酸', '乳酸与丙酮酸比值', '腹部CT', '血液丙酮酸', '胰岛素']"
热带性肺嗜酸粒细胞浸润症,"['胸部平片', '胸部CT检查', '肺部检查', '血清免疫球蛋白E（IgE）', '血常规']"
手术后和创伤后肺炎,"['肺部检查', '胸部平片', '痰液的一般性状检查', '血常规']"
鼾症,"['肺功能检查', '睡眠试验', '血液检查', '氧分压']"
特发性肺纤维化,"['肺活检', '呼气流速', '肺功能检查', '肺容积', '肺显像', '血氧饱和度']"
脱屑性间质性肺炎,"['肺功能检查', '支气管镜检查', '肺活检', '浆细胞', '胸部CT检查', '胸部平片']"
特发性阻塞性细支气管炎伴机化性肺炎,"['肺功能检查', '肺活检', '胸部CT检查', '胸部平片', '肺容积', '血常规']"
特发性含铁血黄素沉着症,"['血清铁蛋白', '胸部CT检查', '间接胆红素', '痰液的一般性状检查', '胸部平片', '尿含铁血黄素定性试验', '血清铁', '血清铁（Fe）']"
外源性过敏性肺泡炎,"['血氧饱和度', '肺活检', '一氧化碳', '胸部平片', '血清免疫球蛋白测定']"
小儿结核病,"['痰液细菌培养', '痰液的一般性状检查', '胸部透视', '血常规', '血液检查', '涂片']"
新生儿呼吸窘迫综合征,"['肺和胸膜触诊', '肺部检查', '胸部平片', '胸部B超', '羊水卵磷脂/鞘磷脂比值', '羊水卵磷脂/鞘磷脂比值（L/S）', '肺泡-动脉氧分压差（PA-aDO2）', '肺毛细血管楔压', '羊水泡沫试验', '羊水泡沫试验']"
吸入性损伤,"['血液生化六项检查', '胸部平片', '血常规', '尿常规']"
小儿金黄色葡萄球菌肺炎,"['胸部平片', '痰液细菌涂片检查', '痰液细菌培养', '心电图', '尿常规']"
小儿急性支气管炎,"['胸部平片', '痰液量']"
小儿流行性感冒,"['体温测量', '痰液病原体检查', '血凝抑制试验', '补体结合试验']"
小儿急性喉炎,"['血常规', '耳、鼻、咽拭子细菌培养', '间接鼻咽镜']"
矽肺,"['肺功能检查', '胸部CT检查', '胸部平片', '气体分布', '肺容积', '通气贮量比', '肺总量（TLC）']"
新生儿窒息,"['氧分压', '血清胰高血糖素（PG）', '食管造影', '胸部平片', '肺活检', '心电图', '动脉血气分析', '血液电解质检查', '羊膜镜检查']"
小儿支原体肺炎,"['儿童支气管镜检查', '心电图', '酶联免疫吸附试验', '补体结合试验', '血清学反应', '冷凝集试验']"
新生儿肺不张,"['胸部平片', '肺功能检查', '支气管镜检查']"
小儿感冒,"['体温测量', '血常规', '异型中性粒细胞', '白细胞数', '体液免疫检测法']"
哮喘,"['过敏原筛选', '激发试验', '流速容量测定', '支气管舒张试验', '一秒用力呼出量／用力肺活量比值', '皮内试验', '血常规', '血清免疫球蛋白G亚类', '肺活量（VC）', '气道过敏试验']"
小儿哮喘,"['血清-氧化氮', '激发试验', '胸部平片', '肺通气量', '肺功能检查', '儿童肺功能检查', '触觉', '呼气流速', '支气管造影', '血常规']"
小儿肺炎,"['血常规', '胸部平片', '胸部CT检查', '痰液细菌涂片检查', '痰液的一般性状检查', '淋巴细胞数', '波顿格征', '内科检查', '痰液病原体检查', '肺和胸膜触诊']"
新生儿呼吸暂停,"['血常规', '心电图', '血液检查', '氧分压']"
先天性肺囊肿,"['胸部平片', '胸部CT检查', '肺功能检查', '支气管造影', '痰液的一般性状检查', '胎儿畸形筛查']"
休克型肺炎,"['尿常规', '胸部平片', '实际碳酸氢盐（AB）', '血常规', '肾功能检查', '痰液的一般性状检查', '肺部检查']"
吸入性肺炎,"['尿常规', '痰液显微镜检查', '胸部平片', '肺活量体重指数', '动脉血气分析', '血常规', '肺量计检测', '痰液的一般性状检查', '支气管镜检查']"
腺病毒肺炎,"['胸部平片', '白细胞数', '肺部检查', '血常规', '冷凝集试验', '痰液的一般性状检查', '脉搏', '心电图']"
哮喘性肺嗜酸粒细胞浸润症,"['胸部平片', '肺功能检查', '胸部CT检查', '痰液的一般性状检查', '激发试验']"
细菌性肺炎,"['胸部CT检查', '胸部平片', '血常规', '痰液的一般性状检查', '胸腔积液微生物学检查', '血液检查', '全血铬', '痰液细菌涂片检查', '痰液细菌培养', '酶联免疫吸附试验']"
新生儿湿肺,"['肺毛细血管楔压', '胸部平片', '肺部检查', '胸部CT检查']"
胸壁结核,"['痰液细菌培养', '痰液细菌涂片检查', '痰液的一般性状检查', '结核杆菌检查', '胸部CT检查', '结核菌素皮内试验', '胸部平片', '结核杆菌的抗原、抗体检查', '血常规', '结核菌素试验（OT,PPD）']"
乙醚中毒,"['胃液显微镜检查', '尿液分析', '尿液镜检法', '血液检查']"
淹溺,"['胸部平片', '尿常规', '血常规']"
衣原体肺炎,"['沙眼衣原体抗原', '胸部平片', '血清免疫蛋白电泳', '血常规', '血清免疫球蛋白测定']"
羊水与胎粪吸入综合征,"['胸部平片', '基础代谢', '羊水与尿液鉴别试验', '二氧化碳分压（PCO2,PCO2）']"
一氧化碳中毒,"['心电图', '血浆游离血红蛋白', '脑电图检查', '血液碳氧血红蛋白', '叠氮高铁血红蛋白']"
阻塞性肺气肿,"['肺通气功能', '肺泡气-动脉血氧分压差', '最大呼气流量-容积曲线（MEFV）', '无效腔气量／潮气量比值', '残气量（RV）', '残气量／肺总量比值（RV/TLC）', '肺功能检查', '胸部平片', '肺容量测定', '肺活量（VC）']"
支原体肺炎,"['痰液的一般性状检查', '痰液细菌涂片检查', '痰液细菌培养', '肺炎支原体补体结合试验', '胸部平片', '冷凝集试验', '肺炎支原体寒冷凝集试验', '胸部CT检查', '血常规', '立克次体凝集试验']"
支气管扩张,"['肺功能检查', '支气管镜检查', '经胸壁针刺肺活检', '支气管造影', '剖胸术', '血常规', '胸部CT检查', '痰液的一般性状检查', '血清免疫球蛋白测定']"
支气管肺炎,"['胸部平片', '血常规', '心电图', '尿常规', '痰液中分泌型IgA']"
变应性血管炎,"['血液生化六项检查', '类风湿因子', '尿常规', '迟发性皮肤变态反应', '免疫病理检查', '皮损', '抗内皮细胞抗体']"
病毒性心肌炎,"['心电图', '肌钙蛋白', '类风湿因子', '多普勒超声心动图', '超氧化物歧化酶（SOD）', '超氧化物歧化酶（SOD）', '超氧化物岐化酶', '心肌灌注显像', '血管造影', '血清精氨酸酶（ARG）']"
病态窦房结综合征,"['心电图', '心肺功能运动试验（CPET）', '动态心电图（Holter监测）', '阿托品抑制GH试验']"
川崎病,"['心电图', 'C-反应蛋白检验（CRP）', '二维超声心动图', '类风湿因子', '血常规', '尿沉渣']"
穿透性心脏外伤,"['心电图', '多普勒超声心动图', '中心静脉压测定（CVP）']"
窦性停搏,"['动态心电图（Holter监测）', '心电图']"
单心室,"['心电图', '胸部平片', '血氧饱和度', '二维超声心动图', '心血管造影']"
单心房,"['心电图', '心血管造影', '胸部平片', '二维超声心动图']"
单纯性下肢静脉曲张,"['血管杂音', '深静脉通畅试验', '血管镜', '血管视诊', '交通静脉瓣膜功能试验', '大隐静脉瓣膜功能试验', '血管造影']"
动脉硬化,"['心电图', '脉搏波速度', '多普勒超声心动图', '于夏征', '甘油三酯', '血管镜', '闭目直立试验', '动脉通畅性试验', '血流变学检查', '脑血管造影']"
动脉导管未闭,"['心电图', '胸部平片', '血氧含量', '二维超声心动图']"
窦性心动过速,"['动态心电图（Holter监测）', '心电图']"
动脉瘤,"['动脉听诊', '动脉通畅性试验', '上肢动脉功能试验']"
二尖瓣关闭不全,"['二维超声心动图', '心电图', '平衡法放射性核素心血管造影(ERNA)', '心血管MRI检查']"
二尖瓣狭窄,"['心电图', '周围血管征', '脉搏', '多普勒超声心动图']"
二尖瓣脱垂综合征,"['胸部平片', '二维超声心动图', '心电图', '造影检查']"
二尖瓣环钙化,"['胸部平片', '冠状动脉造影', '二维超声心动图']"
肺性脑病,"['脑电图检查', '标准碳酸氢盐(SB)']"
风湿性二尖瓣狭窄,"['多普勒超声心动图', '心电图', '胸部平片', '血管造影']"
风湿性二尖瓣关闭不全,"['心血管造影', '胸部平片', '多普勒超声心动图', '心电图']"
肥厚型梗阻性心肌病,"['冠状动脉造影', '选择性心血管造影', '心血管造影', '心电图', '多普勒超声心动图']"
房室管畸形,"['心电图', '心血管造影', '胸部平片', '多普勒超声心动图', '二维超声心动图', '选择性心血管造影', '收缩压']"
法洛四联症,"['血氧饱和度', '胸部平片', '心血管造影', '心电图', '选择性心血管造影', '多普勒超声心动图']"
风湿热,"['抗核苷酶试验', '抗链球菌激酶试验', '宿主中介试验', '抗透明质酸酶', '狼疮细胞', '血清补体C3', '小白鼠毒力试验', '抗链球菌型M蛋白抗体', '马尿酸钠水解试验', '杆菌肽抑菌试验']"
肺动脉口狭窄,"['舒张压', '心电图', '胸部平片', '心血管造影', '99Tcm-DTPA肺上皮细胞通透性测定', '多普勒超声心动图', '收缩压']"
肥厚型心肌病,"['心电图', '胸部平片', '心血管造影', '多普勒超声心动图']"
房室传导阻滞,"['动态心电图（Holter监测）', '心电图']"
肺动静脉瘘,"['动静脉瘘定位试验', '心血管造影', '造影检查', '多普勒超声心动图', '血氧饱和度']"
高血压危象,"['CT检查', '尿常规', '血压', '腹膜后充气造影', '尿儿茶酚胺', '肾功能检查', '眼底检查']"
高血压,"['血压', '动态血压监测(ABPM)', '心电图', '白细胞介素4（iL-4）', '速尿激发试验', '血清白细胞介素3', '红细胞聚集性', '紧张度与动脉壁状态', '甘油三酯', '血管紧张素Ⅱ']"
冠状动脉终止异常,"['多普勒超声心动图', '冠状动脉造影', '心电图', '心血管造影', '胸部平片']"
冠状动脉异位起源,"['冠状动脉造影', '造影检查', '心电图', '脉搏', '血管造影']"
感染性心内膜炎,"['心电图', '二维超声心动图', '心血管造影', '断层显像', '菊糖发酵试验', '类风湿因子', '血清冷凝集素试验']"
冠心病,"['运动显像', '心电图', '动态心电图（Holter监测）', '组织纤溶酶原激活物', '静息显像', '酶学检查', '心肌灌注显像', '室壁运动电影显示', '载脂蛋白A-Ⅰ(ApoA-Ⅰ)', '脏器断层显像']"
后天性三尖瓣关闭不全,"['心电图', '心血管造影']"
后天性动静脉瘘,"['脉率', '脉搏', '氧分压', '心血管造影', '多普勒超声心动图', '动静脉瘘定位试验', '窦道及瘘管造影']"
间歇性眼球突出症,"['眼底荧光血管造影', '眼底微血管检查', 'Hertel氏眼球突出计']"
急性心肌梗死,"['血清乳酸脱氢酶', '环磷酸鸟苷', '血清肌钙蛋白I(TnI)和肌钙蛋白T(TnT)', '乳酸脱氢酶同工酶', '全血镍（Ni）', '全血镍', '血小板第Ⅳ因子', '血管性假血友病因子', '超氧化物歧化酶（SOD）', '心电图']"
酒精性心肌病,"['血管造影', '多普勒超声心动图', '心电图', '血常规', '尿常规', '维生素B1', '收缩压']"
急性心功能不全,"['肺灌注显像', '多普勒超声心动图', '心电图']"
急性感染性心内膜炎,"['血常规', '心电图']"
急性心包炎,"['二维超声心动图', '核磁共振成像(MRI)', '颈静脉回流试验', '多普勒超声心动图', '心电图']"
急性心力衰竭,"['多普勒超声心动图', '心电图', '脉搏']"
甲亢,"['三碘甲状腺原氨酸（T3）', '甲状腺素(T4)', '甲状腺激素抑制显像', '游离甲状腺指数', '甲状腺血流显像', '三碘甲状腺原氨酸摄取率', '促甲状腺激素释放激素', '游离三碘甲状腺原氨酸指数（FT3I）', '游离三碘甲状腺原氨酸', '深反射检查']"
扩张型心肌病,"['舒张压', '心电图', '抗心肌抗体', '胸部平片', '冠状动脉造影', '多普勒超声心动图', '抗心肌细胞膜抗体', '抗热休克蛋白-60抗体', '抗心肌抗体（AMA）']"
克山病,"['心电图', '尿硒', '血清硒(Se)', '血液检查']"
雷诺病,"['皮损', '皮肤颜色', '库姆斯氏试验', '类风湿因子', '血清补体C6含量', '抗RNP抗体', '抗着丝点抗体']"
慢性肺源性心脏病,"['多普勒超声心动图', '二维超声心动图', '胸部平片', '心电图', '肺阻抗血流图', '肺和胸膜叩诊']"
缺血性心肌病,"['血管造影', '多普勒超声心动图', '造影检查', '冠状动脉造影', '胸部平片', '心肌灌注显像', '基础代谢', '心电图', '负荷试验脑血流灌注显像', '肺毛细血管楔压']"
四肢血栓性浅静脉炎,"['血管造影', '血常规']"
三尖瓣下移畸形,"['多普勒超声心动图', '心脏血管超声检查', '心电图']"
三尖瓣狭窄,"['多普勒超声心动图', '腹颈静脉回流试验', '肝-颈静脉返流征', '心电图', '脉搏']"
三尖瓣关闭不全,"['弗里德瑞希征', '颈静脉检查', '腹部搏动检查', '二维超声心动图', '胸部平片', '心电图']"
三尖瓣闭锁,"['心电图', '血氧饱和度', '多普勒超声心动图', '二维超声心动图', '造影检查', '心血管造影']"
三房心,"['心电图', '心血管造影', '造影检查', '多普勒超声心动图']"
颈动脉体瘤,['超声内镜检查']
完全性肺静脉异位回流,"['胸部平片', '多普勒超声心动图', '心电图']"
完全性大动脉错位,"['心电图', '心血管造影', '多普勒超声心动图']"
休克,"['心电图', '脉率', '脉搏', '皮肤颜色', '氧分压', '血浆鱼精蛋白副凝试验（3p试验）', '血氧含量', '血氧饱和度', '眼底检查', '血常规']"
新生儿缺氧缺血性脑病,"['动脉血气分析', '颅脑超声检查', 'CT检查', '凝血时间']"
新生儿硬肿症,"['心电图', '血常规', '凝血酶时间', '白陶土部分凝血活酶时间', '纤维蛋白降解产物']"
血管瘤,"['血管造影', '脾显象', '电子皮镜']"
先天性风疹,"['病毒感染免疫检测', '抗风疹病毒抗体(RuV)', '皮疹', '风疹病毒抗体IgG', 'TORCH检查', '风疹病毒抗体']"
血栓闭塞性脉管炎,"['血管造影', '肢体血流图', '伯尔格试验', '动脉通畅性试验', '脉波', '血流变学检查', '脉搏', '血栓调节蛋白抗原', '纤维蛋白肽Bβ15～42']"
胸降主动脉动脉瘤,"['胸部平片', '经食管超声心动图(TEE)', '心血管造影']"
胸主动脉夹层动脉瘤,"['胸部平片', '心电图', '心血管造影', '二维超声心动图']"
心脏神经官能症,['心电图']
心内膜弹性纤维增生症,"['心电图', '多普勒超声心动图', '脉搏', '心血管造影']"
心绞痛,"['心电图', '冠状动脉造影', '血浆组织纤溶酶原活化物抗原检测', '血小板凝集功能试验', '肌红蛋白', '磷酸肌酸激酶', '血浆组织纤溶酶原活化物活性检测', '饱餐试验', 'Rerth试验', '动态血压监测(ABPM)']"
心肌梗塞并发心室间隔穿破,"['心电图', '多普勒超声心动图', '胸部平片', '冠状动脉造影']"
心肌梗塞并发二尖瓣关闭不全,"['心电图', '二维超声心动图', '血清乳酸脱氢酶（LDH）']"
心肌梗死,"['肌红蛋白', '肌红蛋白', '血常规', '心电图', '凝血时间', '血清乳酸脱氢酶（LDH）', '红细胞电泳时间测定', '红细胞电泳时间', 'α-羟丁酸脱氢酶', '瑞斯托霉素诱导血小板聚集测定']"
心功能障碍,"['心电图', '收缩压', '手背浅静脉充盈度']"
心包囊肿,"['多普勒超声心动图', '胸部CT检查', '胸部平片', '颈静脉回流试验', '胸部MRI']"
小儿高血压,"['血管杂音', '血常规', '心电图', '血管紧张素Ⅱ', '儿童体检', '血管造影', '肾血浆流量', '放射性核素肾图', '尿儿茶酚胺', '肾素活性']"
小儿充血性心力衰竭,"['心电图', '血液生化六项检查', '大生化检查', '动脉血气分析', '多普勒超声心动图', '胸部平片', '脉搏']"
心肌梗塞并发左心室室壁瘤,"['冠状动脉造影', '胸部平片', '心电图']"
先天性主动脉缩窄,"['血管造影', '血管杂音', '心电图', '造影检查', '脉搏', '收缩压']"
先天性主动脉弓畸形,"['胸部平片', '食管造影', '造影检查', '支气管镜检查']"
先天性主动脉瓣下狭窄,"['动态心电图（Holter监测）', '心电图', '血氧含量', '造影检查']"
先天性主动脉瓣上狭窄,"['心电图', '血管造影']"
先天性动脉导管未闭,"['心电图', '二维超声心动图', '胸部平片', '血氧含量']"
先天性动静脉瘘,"['氧分压', '血管杂音', '造影检查', '脉搏', 'CT检查', '血管造影']"
先天性二尖瓣畸形,"['心电图', '多普勒超声心动图', '造影检查', '经食管超声心动图(TEE)']"
心包积液,"['心包积液检查', '心电图', '多普勒超声心动图', '胸部平片', '颈静脉回流试验', '脉搏']"
心肌病,"['心电图', '二维超声心动图', '造影检查', '静息显像', '血清天冬氨酶氨基转移酶同工酶', '冠状动脉造影', '磁共振波谱分析', '舒张压', '尿常规']"
心律失常,"['心电图', '多普勒超声心动图', '动态心电图（Holter监测）', '动态血压监测(ABPM)', '内科检查']"
限制型心肌病,"['胸部平片', '血常规', '胸部CT检查', '胸部MRI', '冠状动脉造影', '心电图', '多普勒超声心动图', '舒张压', '收缩压', '腹颈静脉回流试验']"
心房扑动与心房颤动,"['动态心电图（Holter监测）', '心电图', '脉搏']"
心室内传导阻滞,['心电图']
先天性主动脉瓣窦动脉瘤破裂,"['多普勒超声心动图', '胸部MRI', '胸部CT检查', '心电图']"
心包肿瘤,"['胸部CT检查', '胸部MRI', '心血管造影', 'CT检查', '颈静脉检查', '造影检查']"
血管运动性鼻炎,['前鼻镜检查']
胸腔积液,"['CT检查', '胸部B超', '体位', '肿瘤相关抗原', '电子支气管镜检查', '膈现象', '涂片', '干扰素', '类风湿因子', '狼疮细胞']"
心肌炎,"['腮腺炎病毒抗体', '腺病毒抗体', '类风湿因子', '淋巴细胞转化率', '肌钙蛋白', '肌红蛋白', '多普勒超声心动图', '心肌灌注显像', '心电图', '血清r-谷氨酰基转移酶']"
心脏内粘液瘤,"['体层摄影', '体位', '胸部平片', '心电图']"
心室间隔缺损,"['心血管造影', '心电图', '多普勒超声心动图', '血氧含量', '血氧饱和度', '脉搏', '造影检查']"
羊水过多,"['羊水量', '腹部平片', '胎心音']"
原发性下肢静脉瓣膜关闭不全,"['大隐静脉瓣膜功能试验', '血管造影', '血管杂音']"
亚急性感染性心内膜炎,"['心电图', '抗溶血性链球菌“O”试验', '血管造影', '血常规', '多普勒超声心动图', '补体结合试验', '尿常规', '类风湿因子']"
乙状窦血栓性静脉炎,"['涂片', '眼底检查', '血常规']"
左心室双出口,"['血氧饱和度', '心血管造影', '心电图']"
左心发育不良,"['心血管造影', '胸部平片', '多普勒超声心动图', '心电图', '血氧饱和度(SaO2)']"
自发性血胸,['胸部平片']
主-肺动脉隔缺损,"['多普勒超声心动图', '血氧含量', '脉搏', '心电图']"
主动脉夹层,"['心电图', '二维超声心动图', '血管造影', '脉搏']"
主动脉瓣狭窄合并关闭不全,"['二维超声心动图', '心电图', '脉搏']"
主动脉瓣膜部狭窄,"['多普勒超声心动图', '胸部平片', '心电图', '脉搏']"
阵发性室上性心动过速,"['动态心电图（Holter监测）', '心电图', '脉搏']"
早搏,"['动态心电图（Holter监测）', '心电图', '脉搏']"
主动脉瘤,"['心电图', '胸部MRI', '格哈德征', '胸部CT检查']"
主动脉瓣狭窄,"['心电图', '多普勒超声心动图', '经食管超声心动图(TEE)']"
主动脉瓣关闭不全,"['二维超声心动图', '心电图', '蓝多耳菲征', '经食管超声心动图(TEE)', '毛细血管搏动征', '胸部平片', '脉搏']"
阵发性室性心动过速,"['心电图', '动态心电图（Holter监测）', '多普勒超声心动图', '血常规', '胸部平片']"
中暑衰竭,"['尿常规', '血常规', '肾功能检查', 'CT检查']"
阿米巴肝脓肿,"['肠镜', '粪细菌培养', '阿米巴原虫抗原和抗体']"
