disease_name,nutrition_do_eat,nutrition_not_eat,nutrition_recommend_eat
肺念珠菌病,"['鸡蛋清', '鸡', '杏仁', '核桃']","['啤酒', '白酒', '空心菜', '奶油']","['小麦粥', '荞麦粥', '杂粮粥', '蔬菜杂烩粥', '豆薯小米粥', '花生杏仁粥', '冬瓜草鱼汤', '三鲜冬瓜汤']"
肺大疱,,,
肺炎球菌肺炎,"['鸡蛋', '鲈鱼', '鲢鱼', '鲤鱼']","['啤酒', '白酒', '辣椒(红、尖、干)', '咖啡']","['小黄瓜凉拌面', '黄瓜三丝汤', '水萝卜拌黄瓜', '黄瓜拌豆腐丝', '黄瓜拌香菜', '小黄瓜西瓜汁', '五丝白菜卷', '玉竹白菜']"
肺气肿,"['鹿肉', '鸡肝', '杏仁', '松子仁']","['海虾', '带鱼', '羊肉(瘦)', '圆白菜']","['糖醋草鱼', '炖白鲢鱼', '红烧鲢鱼', '泡莲藕', '凉拌莲藕', '山楂糕', '百合汁', '百合粥']"
肺炎杆菌肺炎,"['鹿肉', '鸡蛋', '鸡肝', '杏仁']","['鱼腥草', '洋葱', '香菜', '辣椒(青、尖)']","['番茄鸡蛋煎饼', '番茄芹菜汁', '番茄汁', '锅塌番茄', '意式番茄牛肉凉面', '番茄牛肉', '番茄三素', '番茄苹果芝麻蜜']"
肺脓肿,"['鹿肉', '鸡肝', '杏仁', '松子仁']","['海蟹', '海虾', '海螺', '海参']","['五丝白菜卷', '香菇扒小白菜', '白菜蛋花粥', '烟肉白菜粥', '圆肉腐竹红枣白菜汤', '桔汁白菜', '土豆丝拌白菜', '炝圆白菜']"
肺栓塞,"['鹿肉', '蜂蜜', '鸡肝', '芝麻']","['海蟹', '海虾', '狗肉', '鱼腥草']","['番茄鸡蛋煎饼', '番茄菠萝汁', '番茄黄瓜汁', '番茄青豆汤', '番茄洋葱芹菜汁', '番茄汁', '西芹洋葱黄豆番茄汤', '拔丝番茄']"
肺炎,"['鸭肉', '鸡心', '腰果', '松子仁']","['杏仁', '腐竹', '白扁豆', '猪油（板油）']","['豌豆绿豆粥', '酱泥鳅', '赤小豆粥', '酱兔肉', '柏子仁鸡心', '银耳瘦肉羹', '西葫芦饺', '蚕豆粥']"
肺大泡,"['鸭肉', '腰果', '松子仁', '莲子']","['啤酒', '白酒', '杏仁', '油豆腐']","['银耳羹', '杏仁豆腐', '杂粮粥', '蔬菜杂烩粥', '小麦粥', '瓜粒杂锦汤', '绿豆南瓜汤', '冬瓜粒杂锦汤']"
肺水肿,"['鸡肝', '杏仁', '松子仁', '花生']","['螃蟹', '海蟹', '海虾', '羊肉(后腿)']","['肉卤鸡蛋', '豆苗炒鸡蛋', '鸡蛋豆腐汤', '首乌煮鸡蛋', '鸡蛋家常饼', '桂圆鸡蛋汤', '糖醋鸡蛋', '芥菜鸡蛋汤']"
非典,"['鹿肉', '鸡肝', '杏仁', '松子仁']","['海蟹', '海虾', '狗肉', '鱼腥草']","['奶汤锅子鱼', '五丝白菜卷', '玉竹白菜', '冬菇烧白菜', '板栗烧白菜', '白菜姜葱汤', '芥末拌白菜', '椒盐白菜']"
肺转移瘤,"['鸭肉', '腰果', '松子仁', '莲子']","['白酒', '杏仁', '腐竹', '海蟹']","['番茄鸡蛋煎饼', '双菇番茄黄瓜紫菜汤', '番茄芦笋紫菜汤', '干贝番茄汤', '翠衣番茄豆腐汤', '番茄煮牛肉', '番茄马蹄(2)', '草菇熘番茄']"
肺炎性假瘤,"['鸭肉', '腰果', '松子仁', '莲子']","['啤酒', '白酒', '杏仁', '腐竹']","['杂粮粥', '蔬菜杂烩粥', '小麦粥', '虾皮香芹燕麦粥', '豆薯小米粥', '花生杏仁粥', '萝卜豆腐汤', '瓜粒杂锦汤']"
肺隐球菌病,,,
肺癌,"['鸡肉', '芝麻', '腰果', '甜杏仁']","['杏仁', '腐竹', '白扁豆', '猪油（板油）']","['紫米薏仁粥', '黑豆牡蛎粥', '白果莲子粥', '拌菜花', '大麦汤', '豌豆绿豆粥', '炒苋菜', '素炒菠菜']"
镉中毒,,,
感冒,"['鸡蛋', '鹌鹑蛋', '芝麻', '南瓜子仁']","['白扁豆', '咸鱼', '油条', '猪油（板油）']","['醋熘土豆丝', '姜丝萝卜汤', '葱蒜粥', '香椿芽粥', '凉拌香椿', '薏米莲子粥', '绿豆薏米饭', '赤小豆粥']"
感染性休克,"['鸡蛋', '芝麻', '桃仁', '南瓜子仁']","['白扁豆', '田螺', '螃蟹', '河蚌']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '香菇扒小白菜', '白菜仔滚鱼片汤', '白菜姜葱汤', '芥末拌白菜', '油漆白菜']"
过敏性休克,"['鸡蛋', '鹌鹑蛋', '芝麻', '南瓜子仁']","['蜂蜜', '白扁豆', '螃蟹', '猪油（板油）']","['黄瓜三丝汤', '黄瓜猪肉水饺', '黄瓜拌绿豆芽', '水萝卜拌黄瓜', '白煮肉拌黄瓜', '黄瓜素虾仁', '黄瓜拌香菜', '拌麻辣黄瓜']"
Goodpasture综合征,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '沙丁鱼', '猪油（板油）', '猪小排（猪肋排）']",['柿饼粥']
过敏性肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '蟹黄', '猪油（板油）', '猪小排（猪肋排）']","['南瓜牛肉汤', '五丝白菜卷', '小白菜馅包子', '白菜包子', '大白菜饺', '酱白菜', '培根白菜粥', '白菜虾仁面汤']"
汞中毒,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['五丝白菜卷', '玉竹白菜', '拌肚丝白菜', '水萝卜丝拌白菜', '鲜菊白菜豆腐汤', '白菜炒干丝', '白菜扒猪肝', '油漆白菜']"
呼吸道异物,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['花生', '白扁豆', '海蟹', '海虾']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '大白菜饺', '酱白菜', '酱辣白菜头', '培根白菜粥', '小白菜猪肉饺']"
呼吸性细支气管相关的间质性肺疾病,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '海虾', '猪油（板油）', '猪小排（猪肋排）']","['油炸鸡蛋烫面球', '松散蜂窝鸡蛋', '番茄鸡蛋煎饼', '鸡蛋炒面', '冰花鸡蛋球', '鸡蛋布丁', '酱鸡蛋', '什锦鸡蛋面']"
呼吸衰竭,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '海蟹', '海虾', '海螺']","['番茄羊排粥', '番茄鸡蛋煎饼', '虾仁番茄饺', '炸番茄蛋饺', '番茄黄瓜汁', '番茄菠萝汁', '番茄西米粥', '番茄西瓜汁']"
呼吸道合胞病毒肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '海蟹', '海虾', '海螺']","['小黄瓜凉拌面', '黄瓜粳米粥', '黄瓜饺', '番茄黄瓜汁', '糖酱黄瓜', '酱黄瓜(一)', '薏米扁豆老黄瓜汤', '拌西红柿黄瓜']"
减压病,,,
急性呼吸衰竭,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白酒', '花生', '白扁豆', '海蟹']","['番茄羊排粥', '番茄鸡蛋煎饼', '炸番茄蛋饺', '番茄黄瓜汁', '番茄菠萝汁', '番茄西米粥', '番茄西瓜汁', '番茄奶油汤']"
急性肺脓肿,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['蔬菜杂烩粥', '杂粮粥', '荞麦粥', '小麦粥', '豆薯小米粥', '紫菜萝卜汤', '蘑菇胡萝卜拌饭', '苹果胡萝卜泥']"
军团病,"['鸡肉', '芝麻', '南瓜子仁', '栗子（熟）']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['洋参鸡肉汤', '鸡肉饭', '西红柿鸡肉汤', '砂锅鸡肉莲藕汤', '瓜粒杂锦汤', '西兰花素鸡马蹄冬菇汤', '冬瓜粒杂锦汤', '牛奶玉米汤']"
急性呼吸窘迫综合征,"['鸡蛋', '鸡', '芝麻', '南瓜子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['黄瓜粳米粥', '黄瓜三丝汤', '姜汁黄瓜', '水萝卜拌黄瓜', '虾皮炒黄瓜片', '黄瓜炒蛋奶', '小黄瓜西瓜汁', '熏鸡拌黄瓜']"
军团菌病,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['啤酒', '白酒', '咸鸭蛋', '烤鸭']","['小麦粥', '杂粮粥', '蔬菜杂烩粥', '羊腩萝卜丝粥', '花生杏仁粥', '牛奶玉米汤', '瓜粒杂锦汤', '绿豆南瓜汤']"
结核性脓胸,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白酒', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['玉竹白菜', '白菜烧虾段', '香菇扒小白菜', '淡菜板豆腐白菜汤', '白菜小米卷', '香菇白菜羹', '清汤白菜卷', '白菜香菇素翅汤']"
金黄色葡萄球菌肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白酒', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['油炸鸡蛋烫面球', '松散蜂窝鸡蛋', '番茄鸡蛋煎饼', '鸡蛋炒面', '冰花鸡蛋球', '鸡蛋布丁', '酱鸡蛋', '什锦鸡蛋面']"
咖啡因与氨茶碱中毒,,,
卡氏肺囊虫肺炎,"['鸡蛋黄', '芝麻', '南瓜子仁', '栗子（熟）']","['麦芽糖', '赤砂糖', '白砂糖', '啤酒']","['小麦粥', '杂粮粥', '蔬菜杂烩粥', '虾皮香芹燕麦粥', '豆薯小米粥', '花生杏仁粥', '瓜粒杂锦汤', '冬瓜粒杂锦汤']"
咯血,"['燕窝', '鸡心', '芝麻', '松子仁']","['杏仁', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['荞菜炒肉丝', '炸牛脑', '燕窝汤', '冰糖燕窝', '燕窝鸡粥', '赤小豆粥', '盐煮毛豆', '竹笋拌毛豆']"
硫化氢中毒,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['小麦粥', '杂粮粥', '蔬菜杂烩粥', '花生杏仁粥', '豆薯小米粥', '瓜粒杂锦汤', '绿豆南瓜汤', '牛奶玉米汤']"
老年肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '海蟹', '海虾', '海螺']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '大白菜饺', '酱白菜', '酱辣白菜头', '培根白菜粥', '白菜虾仁面汤']"
流行性感冒,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['猪油（板油）', '猪小排（猪肋排）', '猪里脊肉', '猪大肠']","['姜糖饮', '苹果粥', '苹果', '苹果汁', '草莓果汁', '荞麦粥', '荞麦面条', '赤小豆粥']"
免疫缺陷者肺炎,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['素炒圆白菜', '拌肚丝白菜', '冬菇烧白菜', '白菜仔滚鱼片汤', '海米白菜汤', '清润白菜鱼片汤', '白菜粥', '冬菇排骨白菜墨鱼干汤']"
镍中毒,,,
铍中毒,,,
缺血缺氧性脑病,,,
气胸,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '香菇扒小白菜', '淡菜板豆腐白菜汤', '白菜小米卷', '香菇白菜羹', '清汤白菜卷']"
球孢子菌病,,,
禽流感,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['五丝白菜卷', '白菜包子', '小白菜馅包子', '大白菜饺', '淡菜板豆腐白菜汤', '白菜小米卷', '白菜粥', '冬菇排骨白菜墨鱼干汤']"
迁延性肺嗜酸粒细胞浸润症,,,
气管肿瘤,"['鸡蛋', '芝麻', '杏仁', '南瓜子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['五丝白菜卷', '玉竹白菜', '白菜烧虾段', '香菇扒小白菜', '淡菜板豆腐白菜汤', '海米白菜汤', '白菜小米卷', '清润白菜鱼片汤']"
气管先天性疾病,,,
气管、支气管狭窄,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['拌肚丝白菜', '冬菇烧白菜', '白菜仔滚鱼片汤', '海米白菜汤', '清润白菜鱼片汤', '白菜粥', '冬菇排骨白菜墨鱼干汤', '鲜陈白菜汤']"
乳酸性酸中毒,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['开洋大白菜', '水萝卜丝拌白菜', '板栗烧白菜', '白菜姜葱汤', '白菜烧海参', '白菜红枣牛腩汤', '麻酱白菜心', '圆肉腐竹红枣白菜汤']"
热带性肺嗜酸粒细胞浸润症,,,
手术后和创伤后肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['小麦粥', '杂粮粥', '蔬菜杂烩粥', '虾皮香芹燕麦粥', '花生杏仁粥', '瓜粒杂锦汤', '绿豆南瓜汤', '冬菇椰菜豆腐粉丝汤']"
鼾症,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['珍珠笋番茄蘑菇汤', '双菇番茄黄瓜紫菜汤', '冬菇虾仁番茄豆腐羹', '番茄冲菜牛肉丸汤', '番茄青豆汤', '羊肉番茄汤', '番茄玫瑰汁', '番茄草莓汁']"
特发性肺纤维化,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['百合炖雪梨', '百合粥']"
脱屑性间质性肺炎,,,
特发性阻塞性细支气管炎伴机化性肺炎,"['蜂蜜', '芝麻', '杏仁', '桃仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['双耳汤', '蜜汁梨', '冬虫草炖鸭', '山楂百合汤', '银耳拌山楂', '蜜汁山楂']"
特发性含铁血黄素沉着症,,,
外源性过敏性肺泡炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['珍珠笋番茄蘑菇汤', '双菇番茄黄瓜紫菜汤', '冬菇虾仁番茄豆腐羹', '番茄冲菜牛肉丸汤', '番茄青豆汤', '羊肉番茄汤', '番茄玫瑰汁', '番茄草莓汁']"
小儿结核病,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['菠菜豆腐汤', '草鱼豆腐', '红烧酿草鱼', '猪肝白菜汤', '鲜菊白菜豆腐汤', '珊瑚白菜墩', '芥末拌白菜', '椒盐白菜']"
新生儿呼吸窘迫综合征,,,
吸入性损伤,"['鸡蛋', '芝麻', '南瓜子仁', '栗子（熟）']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['鸡蛋面', '豆浆南瓜汤', '小麦粥', '杂粮粥', '蔬菜杂烩粥', '荞麦粥', '口蘑香菇粥', '豆薯小米粥']"
小儿金黄色葡萄球菌肺炎,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['白果冬瓜粥', '冬瓜粥', '绿豆南瓜汤']"
小儿急性支气管炎,"['鸡蛋清', '杏仁', '南瓜子仁', '莲子']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['麻酱拌赤贝', '白扁豆粥', '白扁豆粳米粥', '马兰头菜粥', '拌马兰头', '烧猪肝', '煎猪肝', '猪肝粥']"
小儿流行性感冒,"['杏仁', '南瓜子仁', '莲子', '栗子（熟）']","['鸭', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['番茄鸡蛋煎饼', '五丝白菜卷', '小白菜馅包子', '白菜包子', '大白菜饺', '酱白菜', '酱辣白菜头', '培根白菜粥']"
小儿急性喉炎,"['南瓜子仁', '栗子（熟）', '葵花子仁', '白果（干）']","['鸡蛋黄', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['炒胡萝卜', '萝卜糕', '萝卜豆腐汤', '炝圆白菜', '黄花菜炒木耳', '芹菜烧肉水饺', '鲜百合冬菇西兰花汤']"
矽肺,"['南瓜子仁', '栗子（熟）', '葵花子仁', '白果（干）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['荸荠萝卜粥', '萝卜粳米粥', '雪耳百合白鸽蛋汤', '哈密瓜百合汤', '百合粥', '百合川贝银杏羹']"
新生儿窒息,,,
小儿支原体肺炎,"['南瓜子仁', '栗子（熟）', '葵花子仁', '白果（干）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['百合薏米绿豆粥', '小白菜馅包子', '白菜包子', '大白菜饺', '淡菜板豆腐白菜汤', '白菜小米卷', '香菇白菜羹', '清汤白菜卷']"
新生儿肺不张,,,
小儿感冒,"['芝麻', '南瓜子仁', '栗子（熟）', '葵花子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪里脊肉']","['清汤白菜卷', '酸甜白菜', '白菜粥', '百合炒芦笋', '芦笋汁', '芦笋粥', '草莓果汁', '凉拌香椿']"
哮喘,"['鹿肉', '鸭肉', '杏仁', '松子仁']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪蹄']","['清汤白菜卷', '白菜炖猪骨汤', '萝卜生菜汤', '桂圆莲子粥', '桂圆粥', '素炒菠菜', '菠菜粥', '菠菜汤']"
小儿哮喘,"['鹿肉', '鸭肉', '松子仁', '南瓜子仁']","['杏仁', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['淡菜板豆腐白菜汤', '豆芽豆腐汤', '车前叶萝卜粥', '猪肝白菜汤', '鲜菊白菜豆腐汤', '珊瑚白菜墩', '芥末拌白菜', '椒盐白菜']"
小儿肺炎,"['鹿肉', '鸡蛋清', '鸭肉', '腰果']","['白扁豆', '猪油（板油）', '猪油（板油）', '猪小排（猪肋排）']","['香菇薏米饭', '百合薏米绿豆粥', '百合粥', '百合汤', '党参百合粥', '白果莲子粥', '煨莲子汤', '莲子粥']"
新生儿呼吸暂停,,,
先天性肺囊肿,"['鹿肉', '鸡蛋清', '鸡蛋', '鸭肉']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['开洋大白菜', '水萝卜丝拌白菜', '板栗烧白菜', '白菜姜葱汤', '白菜烧海参', '白菜红枣牛腩汤', '麻酱白菜心', '圆肉腐竹红枣白菜汤']"
休克型肺炎,,,
吸入性肺炎,"['鹿肉', '白砂糖', '鸭肉', '南瓜子仁']","['蜂蜜', '啤酒', '白酒', '鸭']","['莲子淮山猪肉汤', '小麦粥', '杂粮粥', '蔬菜杂烩粥', '荞麦粥', '豆薯小米粥', '花生杏仁粥', '萝卜豆腐汤']"
腺病毒肺炎,,,
哮喘性肺嗜酸粒细胞浸润症,,,
细菌性肺炎,"['鹿肉', '鸭肉', '南瓜子仁', '栗子（熟）']","['蜂蜜', '啤酒', '白酒', '白扁豆']","['开洋大白菜', '水萝卜丝拌白菜', '板栗烧白菜', '白菜姜葱汤', '白菜烧海参', '白菜红枣牛腩汤', '麻酱白菜心', '圆肉腐竹红枣白菜汤']"
新生儿湿肺,,,
胸壁结核,"['鹿肉', '鸭肉', '南瓜子仁', '栗子（熟）']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['五丝白菜卷', '小白菜馅包子', '白菜包子', '大白菜饺', '淡菜板豆腐白菜汤', '白菜小米卷', '香菇白菜羹', '清汤白菜卷']"
乙醚中毒,,,
淹溺,"['鹿肉', '鸡蛋', '鸭肉', '南瓜子仁']","['白扁豆', '海蟹', '海虾', '海螺']","['拌肚丝白菜', '冬菇烧白菜', '白菜仔滚鱼片汤', '海米白菜汤', '清润白菜鱼片汤', '白菜粥', '冬菇排骨白菜墨鱼干汤', '鲜陈白菜汤']"
衣原体肺炎,"['鹿肉', '鸡蛋', '鸭肉', '南瓜子仁']","['啤酒', '黄酒', '白酒', '白扁豆']","['排骨汤', '鲜菊白菜豆腐汤', '珊瑚白菜墩', '芥末拌白菜', '椒盐白菜', '鸡冠白菜', '珊瑚白菜', '炸肉馅白菜盒']"
羊水与胎粪吸入综合征,,,
一氧化碳中毒,"['鹿肉', '鸭肉', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['豆浆粥', '牛奶麦片粥', '清汤白菜卷', '白菜清汤', '白菜粥', '木耳粥', '凉拌木耳', '清炒木耳菜']"
阻塞性肺气肿,"['鹿肉', '鸭肉', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['百合粥', '五丝白菜卷', '玉竹白菜', '香菇扒小白菜', '淡菜板豆腐白菜汤', '白菜小米卷', '香菇白菜羹', '白菜粥']"
支原体肺炎,"['鹿肉', '蜂蜜', '鸭肉', '杏仁']","['猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)', '猪里脊肉']","['猪肝白菜汤', '鲜菊白菜豆腐汤', '珊瑚白菜墩', '芥末拌白菜', '椒盐白菜', '鸡冠白菜', '珊瑚白菜', '炸肉馅白菜盒']"
支气管扩张,"['鹿肉', '鸭肝', '南瓜子仁', '莲子']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['糯米粥', '糯米麦粥', '百合汁', '百合粳米鸡', '百合粥', '核桃仁粥', '烧猪肝', '猪肝粥']"
支气管肺炎,"['鹿肉', '鸭肝', '松子仁', '南瓜子仁']","['腐竹', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['葱白粥', '猪肺粥', '杏仁粥', '牛奶菠菜粥', '牛奶麦片粥', '香炖羊肉', '羊肉粥', '银耳瘦肉羹']"
变应性血管炎,"['鹿肉', '鸡蛋', '鸭肝', '松子仁']","['啤酒', '白酒', '腐竹', '白扁豆']","['冬瓜赤豆汤', '冬瓜汤', '山楂桑椹粥', '百合雪梨莲藕汤', '蔬菜杂烩粥', '杂粮粥', '小麦粥', '花生杏仁粥']"
病毒性心肌炎,"['鹿肉', '鸭肝', '南瓜子仁', '莲子']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['莲子猪心汤', '当归猪心汤', '竹笋米粥', '冬瓜鲤鱼汤', '鲤鱼汤', '萝卜虾汤', '百合粥', '百合红枣粥']"
病态窦房结综合征,"['鹿肉', '鸡蛋', '鸭肝', '南瓜子仁']","['白酒', '白扁豆', '猪油（板油）', '猪小排（猪肋排）']","['人参粥', '羊肉粥', '银鱼羊肉粥', '山药羊肉粥']"
川崎病,"['鹿肉', '鸭肝', '南瓜子仁', '栗子（熟）']","['白扁豆', '猪油（板油）', '猪小排（猪肋排）', '猪肉(肥瘦)']","['白茅根瘦肉汤', '马蹄海蜇汤', '菊花茶粥', '鲤鱼山楂汤']"
穿透性心脏外伤,"['鹿肉', '鸭肝', '南瓜子仁', '栗子（熟）']","['啤酒', '白酒', '咸鸭蛋', '白扁豆']","['番茄菠萝汁', '胡萝卜番茄汤', '白菜粥', '白菜蛋花粥', '杂粮粥', '蔬菜杂烩粥', '荞麦粥', '小麦粥']"
窦性停搏,"['鹿肉', '蜂蜜', '鸡蛋', '鸭肝']","['啤酒', '白酒', '白扁豆', '猪油（板油）']","['蜜饯山楂', '木瓜生姜蜂蜜粥', '人参蜂蜜粥', '小麦粥', '杂粮粥', '蔬菜杂烩粥', '豆薯小米粥', '花生杏仁粥']"
